"","state_data","size_data","rate_data","year"
"1","U.S. Total**",496223,13.4,2011
"2","AL",7647,11.9,2011
"3","AK",3523,14,2011
"4","AZ",6297,14.1,2011
"5","AR",4724,14.2,2011
"6","CA",17990,14,2011
"7","CO",13567,12.9,2011
"8","CT",6802,14.8,2011
"9","DE",4769,14,2011
"10","DC",4549,15.8,2011
"11","FL",12350,12.3,2011
"12","GA",9921,14.1,2011
"13","HI",7582,16.2,2011
"14","ID",6052,13.2,2011
"15","IL",5470,13.5,2011
"16","IN",8466,13.9,2011
"17","IA",7330,11.8,2011
"18","KS",20648,12.9,2011
"19","KY",10849,15,2011
"20","LA",10904,11.1,2011
"21","ME",13205,16.8,2011
"22","MD",10094,13.8,2011
"23","MA",22262,15.3,2011
"24","MI",11012,14.8,2011
"25","MN",15361,10.9,2011
"26","MS",8870,12.4,2011
"27","MO",6383,13.8,2011
"28","MT",10227,13.4,2011
"29","NE",25327,11.5,2011
"30","NV",5478,13.8,2011
"31","NH",6332,15.4,2011
"32","NJ",15338,13,2011
"33","NM",9391,15.3,2011
"34","NY",7712,14.5,2011
"35","NC",11507,13.2,2011
"36","ND",5291,11.5,2011
"37","OH",9917,13.6,2011
"38","OK",8499,14.4,2011
"39","OR",6224,16.7,2011
"40","PA",11466,12.9,2011
"41","RI",6520,16.3,2011
"42","SC",12906,12.9,2011
"43","SD",8235,11.2,2011
"44","TN",5905,10.4,2011
"45","TX",14927,12.3,2011
"46","UT",12627,13.5,2011
"47","VT",7074,15.8,2011
"48","VA",6586,12.8,2011
"49","WA",14697,14.4,2011
"50","WV",5266,12,2011
"51","WI",5292,11.9,2011
"52","WY",6852,13.4,2011
"53","U.S. Total**",465909,13.2,2012
"54","AL",8976,13.5,2012
"55","AK",4318,14,2012
"56","AZ",7282,13.5,2012
"57","AR",5167,12.6,2012
"58","CA",14560,14.4,2012
"59","CO",12231,12.9,2012
"60","CT",8750,14.3,2012
"61","DE",5166,13.6,2012
"62","DC",3810,14.7,2012
"63","FL",7601,12.6,2012
"64","GA",6089,13,2012
"65","HI",7558,14.3,2012
"66","ID",5863,11.6,2012
"67","IL",5573,12.5,2012
"68","IN",8612,13,2012
"69","IA",7148,11.7,2012
"70","KS",11768,11.9,2012
"71","KY",11188,16,2012
"72","LA",9050,12.1,2012
"73","ME",9882,14.9,2012
"74","MD",12787,13.4,2012
"75","MA",21648,15.5,2012
"76","MI",10465,15.5,2012
"77","MN",12216,11.3,2012
"78","MS",7760,11.7,2012
"79","MO",6730,14.4,2012
"80","MT",8653,13.7,2012
"81","NE",19105,10.8,2012
"82","NV",4827,11.6,2012
"83","NH",7502,14.1,2012
"84","NJ",15723,12.4,2012
"85","NM",8756,13.3,2012
"86","NY",6030,13.8,2012
"87","NC",11863,11.7,2012
"88","ND",4868,10.5,2012
"89","OH",12991,14,2012
"90","OK",7992,14,2012
"91","OR",5282,16.9,2012
"92","PA",19896,13.5,2012
"93","RI",5466,15.9,2012
"94","SC",12756,13.1,2012
"95","SD",7856,10.9,2012
"96","TN",7036,11,2012
"97","TX",9105,10.9,2012
"98","UT",12396,12.9,2012
"99","VT",6044,15,2012
"100","VA",7369,13.4,2012
"101","WA",15257,15,2012
"102","WV",5392,12.7,2012
"103","WI",5288,11.1,2012
"104","WY",6258,12.3,2012
"105","U.S. Total**",482317,14,2013
"106","AL",6484,13.6,2013
"107","AK",4564,14.8,2013
"108","AZ",4236,14.6,2013
"109","AR",5248,13.1,2013
"110","CA",11500,14.4,2013
"111","CO",13608,13.5,2013
"112","CT",7681,16.6,2013
"113","DE",5188,15.4,2013
"114","DC",4918,17.5,2013
"115","FL",34072,13.5,2013
"116","GA",8116,14,2013
"117","HI",7840,16.6,2013
"118","ID",5615,12.9,2013
"119","IL",5603,12,2013
"120","IN",10305,15.3,2013
"121","IA",8132,12.2,2013
"122","KS",23205,13.4,2013
"123","KY",10978,14.2,2013
"124","LA",5237,12.3,2013
"125","ME",8075,16.2,2013
"126","MD",12972,13.9,2013
"127","MA",15033,16.8,2013
"128","MI",12697,16.6,2013
"129","MN",14297,11.9,2013
"130","MS",7439,12.5,2013
"131","MO",7086,15.7,2013
"132","MT",9668,13.2,2013
"133","NE",17068,11.2,2013
"134","NV",5084,11.4,2013
"135","NH",6448,16.7,2013
"136","NJ",13351,13.6,2013
"137","NM",9285,14.5,2013
"138","NY",8950,14.9,2013
"139","NC",8838,13.1,2013
"140","ND",7780,12.3,2013
"141","OH",11925,14.2,2013
"142","OK",8206,14.6,2013
"143","OR",5930,18.2,2013
"144","PA",11390,14.2,2013
"145","RI",6511,17.4,2013
"146","SC",10674,13.4,2013
"147","SD",6868,11.8,2013
"148","TN",5788,11.3,2013
"149","TX",10875,12.6,2013
"150","UT",12725,14.1,2013
"151","VT",6378,16.4,2013
"152","VA",8441,13.6,2013
"153","WA",11133,15.8,2013
"154","WV",5867,13.6,2013
"155","WI",6575,14.9,2013
"156","WY",6430,14.1,2013
