,state_name,area_data
0,Alaska,1723337
1,Texas,695662
2,California,423972
3,Montana,380831
4,New Mexico,314917
5,Arizona,295234
6,Nevada,286380
7,Colorado,269601
8,Oregon,254799
9,Wyoming,253335
10,Michigan,250487
11,Minnesota,225163
12,Utah,219882
13,Idaho,216443
14,Kansas,213100
15,Nebraska,200330
16,South Dakota,199729
17,Washington,184661
18,North Dakota,183108
19,Oklahoma,181037
20,Missouri,180540
21,Florida,170312
22,Wisconsin,169635
23,Georgia,153910
24,Illinois,149995
25,Iowa,145746
26,New York,141297
27,North Carolina,139391
28,Arkansas,137732
29,Alabama,135767
30,Louisiana,135659
31,Mississippi,125438
32,Pennsylvania,119280
33,Ohio,116098
34,Virginia,110787
35,Tennessee,109153
36,Kentucky,104656
37,Indiana,94326
38,Maine,91633
39,South Carolina,82933
40,West Virginia,62756
41,Maryland,32131
42,Hawaii,28313
43,Massachusetts,27336
44,Vermont,24906
45,New Hampshire,24214
46,New Jersey,22591
47,Connecticut,14357
48,Delaware,6446
49,Rhode Island,4001
50,District of Columbia,177
